Object ID,CNN ID,Street Name,Street Type,Supervisor District,Layer Input,Collection Method,Parking Supply,Year,Last Edited Date,Geom
1,924103,19TH,AVE,07,STREETS,FIELD,34,2013,,"LINESTRING (-122.47513878780431 37.736017698865815, -122.47506084974584 37.734774506673745, -122.47511569008223 37.73463050912852)"
2,924102,19TH,AVE,07,STREETS,FIELD,5555,2010,,"LINESTRING (-122.47530177405834 37.73745967963975, -122.47522386091313 37.73737462862807, -122.47513878780431 37.736017698865815)"
3,4480000,CRANLEIGH,DR,07,STREETS,FIELD,39,2012,,"LINESTRING (-122.47235489023741 37.734611108744666, -122.47232137598674 37.7340363101225, -122.47239519082177 37.73383825926831, -122.47263302380858 37.73375305374514, -122.47318674836835 37.73372728077432)"
4,629000,15TH,AVE,07,STREETS,FIELD,44,2012,,"LINESTRING (-122.47123915866375 37.741388044521145, -122.47110748941058 37.739520086703855)"
5,7553000,JOHN MUIR,DR,07,STREETS,FIELD,376,2012,,"LINESTRING (-122.48573708286848 37.70809066287842, -122.48627463774604 37.70834042851208, -122.48736404998073 37.70892411606335, -122.487816910418 37.70942476560953, -122.48891707580081 37.71169076025599, -122.48930988774258 37.71206902307071, -122.49058185736034 37.71288485389834, -122.49126731876699 37.713393217009404, -122.4920918283094 37.71448748462141, -122.49297705293228 37.715245713627276, -122.49407553656751 37.71574071181722, -122.49741364557028 37.71673688772091, -122.49841408223958 37.717164397919156, -122.49933554399111 37.71800887785909, -122.49986292078295 37.71878354916231, -122.50023417483814 37.71896049246241)"
6,4919000,DORADO,TER,07,STREETS,FIELD,7,2012,,"LINESTRING (-122.46179927533264 37.726331273386016, -122.46181647557324 37.72682496101766)"
7,4915000,DORADO,TER,07,STREETS,FIELD,7,2012,,"LINESTRING (-122.46073668532738 37.727027053034064, -122.46093235887754 37.7270517344133, -122.4613963554477 37.72683838127554, -122.46181647557324 37.72682496101766)"
8,4914000,DORADO,TER,07,STREETS,FIELD,8,2012,,"LINESTRING (-122.46037771288624 37.72698177300738, -122.46073668532738 37.727027053034064)"
9,6029000,GATEVIEW,CT,07,STREETS,FIELD,3,2012,,"LINESTRING (-122.46679920080707 37.748382470904666, -122.46676925261453 37.74831780542766, -122.46675702674813 37.748133057942745)"
10,8974000,MENDOSA,AVE,07,STREETS,FIELD,4,2012,,"LINESTRING (-122.46747401382905 37.74807796910848, -122.4675809647806 37.7482593325272, -122.46758306972141 37.748338776058034, -122.46752227656026 37.74843403643588)"
11,8973000,MENDOSA,AVE,07,STREETS,FIELD,5,2013,,"LINESTRING (-122.46747401382905 37.74807796910848, -122.46750588202298 37.74794612404536, -122.46749898932656 37.74786867736528)"
12,479000,10TH,AVE,07,STREETS,FIELD,29,2012,,"LINESTRING (-122.4663496157506 37.74907956937055, -122.46629544905015 37.74812366340796)"
13,8971000,MENDOSA,AVE,07,STREETS,FIELD,4,2012,,"LINESTRING (-122.46629544905015 37.74812366340796, -122.46655966181557 37.748154972986015, -122.46675702674813 37.748133057942745)"
14,8972000,MENDOSA,AVE,07,STREETS,FIELD,5,2012,,"LINESTRING (-122.46675702674813 37.748133057942745, -122.46715689837326 37.74804938141279, -122.46730287143603 37.74807023959133, -122.46747401382905 37.74807796910848)"
15,536000,12TH,AVE,07,STREETS,FIELD,20,2012,,"LINESTRING (-122.46849425848893 37.748950579533, -122.46843747495039 37.74813359123636)"
16,8970000,MENDOSA,AVE,07,STREETS,FIELD,61,2012,,"LINESTRING (-122.46471706465566 37.748835539381794, -122.46521765835413 37.74896880354293, -122.46556338987853 37.74901732397203, -122.46573186911775 37.749007503941584, -122.465772322153 37.748877745867865, -122.46566207876688 37.74871157107358, -122.46575260640525 37.74842525856613, -122.46584975383261 37.748194157587804, -122.46603552370259 37.74809270889493, -122.46629544905015 37.74812366340796)"
17,10081000,PACHECO,ST,07,STREETS,FIELD,11,2012,,"LINESTRING (-122.4637430996463 37.75035178383253, -122.46403621098102 37.75058072331323, -122.46419932158861 37.750721933937065)"
18,10083000,PACHECO,ST,07,STREETS,FIELD,19,2012,,"LINESTRING (-122.46541662799414 37.75099124770744, -122.46648209425558 37.750944374391466)"
19,438000,09TH,AVE,07,STREETS,FIELD,43,2012,,"LINESTRING (-122.46554639751008 37.7528560096981, -122.46541662799414 37.75099124770744)"
20,439000,09TH,AVE,07,STREETS,FIELD,15,2012,,"LINESTRING (-122.46541662799414 37.75099124770744, -122.46539131277211 37.750337793923215)"
21,440000,09TH,AVE,07,STREETS,FIELD,22,2010,,"LINESTRING (-122.46539131277211 37.750337793923215, -122.46534417458408 37.749827507599434, -122.46522178983994 37.749707475122655, -122.46505580471297 37.74965021387726)"
22,533000,12TH,AVE,07,STREETS,FIELD,23,2012,,"LINESTRING (-122.4687395946371 37.7522105732936, -122.46887649142688 37.75212139949738, -122.46882639119909 37.7519146019252, -122.46880074539922 37.751715240102456, -122.46883068734559 37.75151788851496, -122.46889065066902 37.75123631909503, -122.46898958833702 37.751021431218255, -122.46902685414572 37.75080241865476)"
23,11111000,ROCKRIDGE,DR,07,STREETS,FIELD,21,2012,,"LINESTRING (-122.46902685414572 37.75080241865476, -122.46972625864821 37.75076658124001, -122.46999442631378 37.75070404316434, -122.47020094631951 37.7505832845839, -122.47038868958496 37.75053227134675)"
24,441000,09TH,AVE,07,STREETS,FIELD,18,2012,,"LINESTRING (-122.46505580471297 37.74965021387726, -122.46486243690038 37.74949678714948, -122.46473779592839 37.74929133983725, -122.46467145442456 37.74906598740267, -122.46468454988766 37.74891454710676, -122.46471706465566 37.748835539381794)"
25,2224000,ALTON,AVE,07,STREETS,FIELD,15,2012,,"LINESTRING (-122.46208170629362 37.75027864276736, -122.46242557796094 37.75018471267738, -122.46269851533695 37.75014529597456, -122.46291306102188 37.75014582495049, -122.46332883939792 37.750173156286756)"
26,3769000,CASTENADA,AVE,07,STREETS,FIELD,23,2012,,"LINESTRING (-122.4622810778081 37.750976860210415, -122.46219789863507 37.750861322371435, -122.46213388828926 37.75078649109625, -122.46202851062617 37.750725022513855, -122.4619597436931 37.750651954738004, -122.46192037927051 37.75053158485581, -122.46198322092597 37.75036643732639, -122.46208170629362 37.75027864276736)"
27,3770000,CASTENADA,AVE,07,STREETS,FIELD,29,2010,,"LINESTRING (-122.46208170629362 37.75027864276736, -122.46206277831959 37.750051266711566, -122.46203804867301 37.74989783311014, -122.46197288782285 37.749681482763094, -122.46196904362577 37.749535906218995, -122.46202189546335 37.74936582938986, -122.4620593097952 37.749230436541126, -122.46201633651579 37.74907563398476, -122.4619542180122 37.74900167505365)"
28,13202000,VENTURA,AVE,07,STREETS,FIELD,3,2012,,"LINESTRING (-122.4622810778081 37.750976860210415, -122.46220913135113 37.75109087771336)"
29,10080202,PACHECO,ST,07,STREETS,FIELD,7,2012,,"LINESTRING (-122.46332883939792 37.750173156286756, -122.46340186317121 37.75022872707977, -122.46359427834469 37.750320298991, -122.4637430996463 37.75035178383253)"
30,10080201,PACHECO,ST,07,STREETS,FIELD,59,2010,,"LINESTRING (-122.46270038528176 37.748518751000695, -122.46268624482197 37.7486059047531, -122.46279322488958 37.74876550171788, -122.4628631131185 37.74894527671473, -122.46290712480082 37.749172872978825, -122.46289425981081 37.74930232907028, -122.46291188051111 37.749558367025294, -122.46300535260092 37.74980883271499, -122.46318581072549 37.75006431108049, -122.46332883939792 37.750173156286756)"
31,11980000,SOTELO,AVE,07,STREETS,FIELD,19,2012,,"LINESTRING (-122.4639804547572 37.74957364731263, -122.46406429190823 37.7496391862385, -122.46426455277631 37.74969559727296, -122.46505580471297 37.74965021387726)"
32,478000,10TH,AVE,07,STREETS,FIELD,24,2012,,"LINESTRING (-122.46648209425558 37.750944374391466, -122.4663496157506 37.74907956937055)"
33,477000,10TH,AVE,07,STREETS,FIELD,40,2012,,"LINESTRING (-122.46661372006096 37.7528080169069, -122.46648209425558 37.750944374391466)"
34,10080101,PACHECO,ST,07,STREETS,FIELD,5555,2010,,"LINESTRING (-122.46270038528176 37.748518751000695, -122.46279418641866 37.74855584424753, -122.46291174167794 37.74873121674196, -122.46298163018513 37.7489109925704, -122.46302564218635 37.749138587890755, -122.46301351694046 37.749296034698816, -122.46303039964378 37.749524081915716, -122.46312387093161 37.749774546630995, -122.46329071539903 37.74999147530089)"
35,10080102,PACHECO,ST,07,STREETS,FIELD,9,2013,,"LINESTRING (-122.46329071539903 37.74999147530089, -122.4633234350997 37.750034016195364, -122.46355016875894 37.750191791255276, -122.46366157356185 37.750245000126206, -122.4637430996463 37.75035178383253)"
36,13200000,VENTURA,AVE,07,STREETS,FIELD,24,2012,,"LINESTRING (-122.46342111377348 37.751209261785434, -122.46340196250097 37.75113870273213, -122.46328432881243 37.750990918669416, -122.46308989084203 37.75087108221898, -122.46301738158235 37.75084144366224)"
37,4476000,CRAGMONT,AVE,07,STREETS,FIELD,51,2010,,"LINESTRING (-122.46766085518357 37.75075409756715, -122.46750193781922 37.750547024555964, -122.46739073280833 37.749033019748)"
38,4477000,CRAGMONT,AVE,07,STREETS,FIELD,0,2012,,"LINESTRING (-122.46739073280833 37.749033019748, -122.46742132404958 37.74896355944323, -122.46739943986 37.74864820733817)"
39,10082000,PACHECO,ST,07,STREETS,FIELD,20,2012,,"LINESTRING (-122.46419932158861 37.750721933937065, -122.46447174720024 37.750872089136415, -122.46491279054004 37.751013409480194, -122.46541662799414 37.75099124770744)"
40,5975000,FUNSTON,AVE,07,STREETS,FIELD,33,2012,,"LINESTRING (-122.46979517549214 37.75267951440569, -122.469744879351 37.75226088071645, -122.46962418859661 37.75190088421857, -122.46968107567292 37.751589821626155, -122.46955813294161 37.75134905680665, -122.46914652528608 37.751028321496406, -122.46902685414572 37.75080241865476)"
41,2225000,ALTON,AVE,07,STREETS,FIELD,23,2012,,"LINESTRING (-122.4637430996463 37.75035178383253, -122.4641952644144 37.75038664571016, -122.46539131277211 37.750337793923215)"
42,10846000,QUINTARA,ST,07,STREETS,FIELD,16,2010,,"LINESTRING (-122.4663496157506 37.74907956937055, -122.46739073280833 37.749033019748)"
43,10845000,QUINTARA,ST,07,STREETS,FIELD,7,2012,,"LINESTRING (-122.46594877300421 37.74909748832334, -122.4663496157506 37.74907956937055)"
44,403000,08TH,AVE,07,STREETS,FIELD,26,2012,,"LINESTRING (-122.46443100272955 37.752323957774, -122.46441574071179 37.75212313606147, -122.46416732274344 37.751910988703415, -122.4642521979268 37.75169425129923, -122.46434869090287 37.75146579343414, -122.46436345834863 37.75120171037748, -122.46419932158861 37.750721933937065)"
45,534000,12TH,AVE,07,STREETS,FIELD,0,2012,,"LINESTRING (-122.46868696729332 37.75082495736706, -122.46849963057146 37.75061793953678, -122.468369308269 37.75027694562288, -122.46840355981686 37.749840770684536, -122.46833845081296 37.749628835108034, -122.46832944600742 37.74944561021077, -122.4684334446232 37.749295396158544, -122.46858589075777 37.74919329242864)"
46,10847000,QUINTARA,ST,07,STREETS,FIELD,23,2010,,"LINESTRING (-122.46739073280833 37.749033019748, -122.46803935283694 37.74900401326111, -122.46849425848893 37.748950579533)"
47,10849000,QUINTARA,ST,07,STREETS,FIELD,13,2010,,"LINESTRING (-122.46956224893846 37.74890840679001, -122.47060811328487 37.74887361854989)"
48,10848000,QUINTARA,ST,07,STREETS,FIELD,16,2012,,"LINESTRING (-122.46849425848893 37.748950579533, -122.46857331867926 37.74894129287623, -122.46956224893846 37.74890840679001)"
